Campaign_ID,Year,Month,MonthNum,Quarter,Campaign_Name,Marketing_Channel,Target_Segment,Impressions,Clicks,Leads_Generated,Budget_USD,Revenue_USD,ROI,Quality_Score,Campaign_Status
CMP-90101,2025,August,8,Q3,Brand Awareness Booster,Affiliate Network,Young Professionals,399329,11101,436,7986.58,60669.4,6.6,8,Profitable
CMP-90102,2025,June,6,Q2,Brand Awareness Booster,Social Media Ads,Young Professionals,251257,9211,530,6128.23,43603.1,6.12,8,Profitable
CMP-90103,2025,December,12,Q4,Q1 Seasonal Product Launch,Social Media Ads,Corporate Clients,365903,11249,404,5461.25,98826.48,17.1,10,Profitable
CMP-90104,2025,December,12,Q4,Flash Discount Drive,Social Media Ads,Young Professionals,703095,23042,503,15284.69,40219.88,1.63,10,Profitable
CMP-90105,2025,February,2,Q1,Q2 Summer Retargeting Wave,Affiliate Network,Budget Shoppers,392229,8157,357,5854.17,48277.11,7.25,10,Profitable
CMP-90106,2025,January,1,Q1,Brand Awareness Booster,Email Marketing,Young Professionals,103225,7548,542,2293.9,47495.46,19.71,7,Profitable
CMP-90107,2025,October,10,Q4,Flash Discount Drive,Social Media Ads,Eco-Conscious Consumers,979655,26308,1501,13995.08,351203.98,24.09,9,Profitable
CMP-90108,2025,February,2,Q1,Brand Awareness Booster,Social Media Ads,Corporate Clients,1326682,43253,2535,15793.84,187311.15,10.86,10,Profitable
CMP-90109,2025,August,8,Q3,Customer Retention Campaign,Social Media Ads,Tech Enthusiasts,722267,17193,353,12897.63,67362.99,4.22,6,Profitable
CMP-90110,2025,July,7,Q3,Q1 Seasonal Product Launch,Google Paid Search,Eco-Conscious Consumers,668869,34796,2522,13115.08,284557.26,20.7,10,Profitable
CMP-90111,2025,December,12,Q4,Flash Discount Drive,Social Media Ads,Young Professionals,1349087,56144,2183,17751.15,533088.6,29.03,6,Profitable
CMP-90112,2025,September,9,Q3,Q1 Seasonal Product Launch,Google Paid Search,Young Professionals,990398,23651,1229,13949.28,215640.34,14.46,7,Profitable
